Time,Line,Dir,Occupation,TypeS,TypeV,Remarks,
10:31,351,W,0.4,N,S,-,
10:32,145,E,0.6,N,S,-,
10:32,334,E,0.4,N,S,-,
10:32,312,E,0.1,N,S,-,
10:34,313,E,0.1,N,S,Does_not_appear_on_schedule,
10:34,337,E,0.4,N,S,-,
10:35,63,E,0.1,N,S,-,
10:36,326,W,0.6,N,S,-,
10:36,341,E,0.2,N,S,-,
10:36,331,E,0.1,N,S,-,
10:37,90,E,0.1,N,S,-,
10:37,337,W,0.3,N,S,-,
10:38,145,E,-,G,S,-,
10:39,90,W,0.1,N,S,-,
